"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.29.161","52.23.66.242","TCP","54","64968  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2","0.502323","Arcadyan_fe:0a:0b","AzureWaveTec_01:dc:73","ARP","42","Who has 192.168.29.161? Tell 192.168.29.1"
"3","0.502382","AzureWaveTec_01:dc:73","Arcadyan_fe:0a:0b","ARP","42","192.168.29.161 is at 70:66:55:01:dc:73"
"4","0.582703","192.168.29.161","54.224.79.84","TLSv1.2","729","Application Data"
"5","0.582987","192.168.29.161","54.224.79.84","TLSv1.2","85","Application Data"
"6","0.833148","54.224.79.84","192.168.29.161","TCP","56","443  >  64260 [ACK] Seq=1 Ack=707 Win=771 Len=0"
"7","0.856765","54.224.79.84","192.168.29.161","TLSv1.2","316","Application Data"
"8","0.856765","54.224.79.84","192.168.29.161","TLSv1.2","85","Application Data"
"9","0.856838","192.168.29.161","54.224.79.84","TCP","54","64260  >  443 [ACK] Seq=707 Ack=294 Win=253 Len=0"
"10","1.886350","192.168.29.161","52.23.66.242","TCP","54","64954  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.650116","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TCP","86","65011  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"12","2.651096","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TCP","86","65012  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"13","2.653059","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TCP","86","65013  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"14","2.665228","2606:4700:4700::1001","2405:201:7003:c0d5:2547:811:8a15:a967","TCP","86","443  >  65012 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM WS=8192"
"15","2.665228","2606:4700:4700::1001","2405:201:7003:c0d5:2547:811:8a15:a967","TCP","86","443  >  65011 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM WS=8192"
"16","2.665349","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TCP","74","65012  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"17","2.665402","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TCP","74","65011  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"18","2.666085","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TLSv1.3","607","Client Hello (SNI=cloudflare-dns.com)"
"19","2.666121","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TLSv1.3","607","Client Hello (SNI=cloudflare-dns.com)"
"20","2.671837","2606:4700:4700::1001","2405:201:7003:c0d5:2547:811:8a15:a967","TCP","86","443  >  65013 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM WS=8192"
"21","2.671948","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TCP","74","65013  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"22","2.672561","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:4700::1001","TLSv1.3","607","Client Hello (SNI=cloudflare-dns.com)"
"23","2.680852","2606:4700:4700::1001","2405:201:7003:c0d5:2547:811:8a15:a967","TCP","74","443  >  65012 [ACK] Seq=1 Ack=534 Win=131072 Len=0"
"24","2.682046","2606:4700:4700::1001","2405:201:7003:c0d5:2547:811:8a15:a967","TCP","74","443  >  65011 [ACK] Seq=1 Ack=534 Win=131072 Len=0"
